scheduler,C,L,PC,avg_sum_rate_Mbps,rate_5ile_Mbps,rate_50ile_Mbps,jain_fairness,elapsed_sec
random,3,2,0,3.5580080335546875,0.08241805601202515,0.11314072568102214,0.971067251229107,112.26817393302917
random,3,2,1,3.7182911133398435,0.08040212608950026,0.1178274748122051,0.957088993001811,105.93655323982239
gain,3,2,0,7.468565511093749,0.18716699241354368,0.2285705202979374,0.9796029746323722,103.38019323348999
gain,3,2,1,7.4589207165625,0.18391782357099104,0.23900533239641666,0.9747518748188397,103.86740779876709
pf,3,2,0,7.505645485625,0.17812715563269707,0.2405868329130551,0.9823185095486239,104.2779643535614
pf,3,2,1,7.73893458203125,0.19692945199726625,0.24160851957822324,0.9826560298597503,105.31950664520264
optimal,3,2,0,7.3613642906250005,0.19314995058676385,0.2378602265628815,0.9836676142780576,107.03042602539062
optimal,3,2,1,7.80123143,0.19117891967944717,0.24020294787603377,0.9797198159258252,105.91586661338806
