vary,value,drops,seed,A,U,M,K,Q,TopL,Ca,tau_c,tau_p,ao_iters,wmmse_iters,mean_sr,std_sr,elapsed_sec
M,2,30,1234,32,40,2,20,2,8,16,200,10,6,15,182.76332092285156,9.409794807434082,384.68308544158936
M,4,30,1234,32,40,4,20,2,8,16,200,10,6,15,192.6045684814453,13.048672676086426,378.5064146518707
M,8,30,1234,32,40,8,20,2,8,16,200,10,6,15,205.80654907226562,12.534749984741211,393.8331789970398
