vary,value,drops,seed,A,U,M,K,Q,TopL,Ca,tau_c,tau_p,ao_iters,wmmse_iters,mean_sr,std_sr,elapsed_sec
tau_p,5,30,1234,32,40,4,20,2,8,16,200,5,6,15,178.39256286621094,11.417924880981445,385.8676474094391
tau_p,10,30,1234,32,40,4,20,2,8,16,200,10,6,15,191.67137145996094,9.819096565246582,386.9205746650696
tau_p,15,30,1234,32,40,4,20,2,8,16,200,15,6,15,205.33546447753906,12.037287712097168,382.79962706565857
tau_p,20,30,1234,32,40,4,20,2,8,16,200,20,6,15,212.71432495117188,12.116751670837402,376.2475128173828
